"Player Name (Last, First)",Odds to Win,Tier
"Brown, Dan",+85614,Sleepers
"Horschel, Billy",+105163,Sleepers
"Saddier, Adrien",+115285,Sleepers
"Kaneko, Kota",+117547,Sleepers
"Dean, Joe",+124900,Sleepers
"Potgieter, Aldrich",+127560,Sleepers
"Stenson, Henrik",+130335,Sleepers
"Bradbury, Dan",+133233,Sleepers
"Ballester, Jose Luis",+146241,Sleepers
"Rozner, Antoine",+153746,Sleepers
"Harrington, Padraig",+166567,Sleepers
"Kobori, Kazuma",+171329,Sleepers
"Norris, Shaun",+176371,Sleepers
"Couvra, Martin",+181718,Sleepers
"Lagergren, Joakim",+199900,Sleepers
"Bairstow, Sam",Inf,Sleepers
"Laporta, Francesco",Inf,Sleepers
"Daffue, MJ",Inf,Sleepers
"Docherty, Alistair",Inf,Sleepers
"Clarke, Darren",Inf,Sleepers
"Hollick, Michael",Inf,Sleepers
"Yonezawa, Ren",Inf,Sleepers
"Wiedemeyer, Tim",Inf,Sleepers
"LaCroix, Frederic",Inf,Sleepers
"Smyth, Trav",Inf,Sleepers
"Baldwin, Matthew",Inf,Sleepers
"Southgate, Matthew",Inf,Sleepers
"Surratt, Caleb",Inf,Sleepers
"Nicholas, James",Inf,Sleepers
"Grinberg, Lev",Inf,Sleepers
"Nagano, Ryutaro",Inf,Sleepers
"Skogen, Baard",Inf,Sleepers
"Grehan, Stuart",Inf,Sleepers
"Ham, Jeong Woo",Inf,Sleepers
"Uihlein, Peter",Inf,Sleepers
"McDonald, Jack",Inf,Sleepers
"Higa, Kazuki",Inf,Sleepers
"Buchanan, Jack",Inf,Sleepers
"Christensen, Tiger",Inf,Sleepers
"Truslow, Austen",Inf,Sleepers
"John, Cameron",Inf,Sleepers
"Kataoka, Naoyuki",Inf,Sleepers
"De Castro Piera, Alejandro",Inf,Sleepers
"Howard, David",Inf,Sleepers
"Sloman, Tom",Inf,Sleepers
"Pulcini, Mateo",Inf,Sleepers
"Ruiter, Nevill",Inf,Sleepers
"Howell, Mason",Inf,Sleepers
"Duval, David",Inf,Sleepers
"Laopakdee, Fifa",Inf,Sleepers
"Plunkett, Marcus",Inf,Sleepers
"Yang, Jiho",Inf,Sleepers
